ID: HUT:CA, Name: Hut 8 Mining Corp.
ID: H:CA, Name: Hydro One Ltée
ID: IMG:CA, Name: IAMGOLD Corp
ID: IBN:EGX, Name: ICICI Bank Limited
ID: ILMN:EGX, Name: Illumina Inc.
ID: IFX:CA, Name: Imaflex Inc.
ID: IMAX, Name: IMAX Corp.
ID: IMO:CA, Name: Imperial Oil Ltd
ID: IAG:CA, Name: Industrielle Alliance assurance et services financiers Inc.
ID: DII.B:CA, Name: Industries Dorel, catégorie B
ID: LAS.A:CA, Name: Industries Lassonde, catégorie A
ID: ISC:CA, Name: Information Services Corporation Class A
ID: INFY:EGX, Name: Infosys
ID: ING:EGX, Name: ING GROUP NV ADS.
ID: INE:CA, Name: Innergex énergie renouvelable inc.
ID: IFC:CA, Name: Intact Financial Corporation
ID: INTC:EGX, Name: Intel Corp.
ID: IBKR:EGX, Name: Interactive Brokers Group Inc.
ID: IHG, Name: Intercontinental Hotels Group
ID: IBM:EGX, Name: International Business Machine
ID: IP:EGX, Name: International Paper Co
ID: PFL:CA, Name: Invesco 1-3 Year Laddered Floating Rate Note Index ETF
ID: ERTH:EGX, Name: Invesco Cleantech ETF
ID: PICB, Name: Invesco International Corporate Bond ETF
ID: PDBC:EGX, Name: Invesco Optimum Yield Diversified Commodity
ID: RWL, Name: Invesco S&P 500 Revenue ETF
ID: RWJ, Name: Invesco S&P SmallCap 600 Revenue ETF
ID: DJP:EGX, Name: iPath Bloomberg Commodity Index Total Return ETN
ID: XSTP:CA, Name: iShares 0-5 Year TIPS Bond Index ETF
ID: CLG:CA, Name: iShares 1-10 Year Laddered Government Bond Index ETF
ID: CBO:CA, Name: iShares 1-5 Year Laddered Corporate Bond Index ETF
ID: CLF:CA, Name: iShares 1-5 Year Laddered Government Bond Index ETF
ID: XSHU:CA, Name: iShares 1-5 Year U.S. IG Corporate Bond Index ETF
ID: TIP:EGX, Name: iShares Barclays TIPS Bond Fund
ID: XCB:CA, Name: iShares Cdn Corporate Bond Index FNB
ID: XEG:CA, Name: iShares Cdn Energy Sector Index FNB
ID: XGB:CA, Name: iShares Cdn Government Bond Index FNB
ID: XCG:CA, Name: iShares Cdn Growth Index FNB
ID: XIU:CA, Name: iShares Cdn Large Cap  60 Index FNB
ID: XLB:CA, Name: iShares Cdn Long Bond Index FNB
ID: XSU:CA, Name: iShares Cdn Russel 2000 Index FNB
ID: XSP:CA, Name: iShares Cdn S&P 500 Index Fund
ID: XSB:CA, Name: iShares CDN Short Bond Index FNB
ID: XIT:CA, Name: iShares Cdn Tech Sector Index FNB
ID: XCV:CA, Name: iShares Cdn Value Index FNB
ID: XSH:CA, Name: iShares Core Canadian Short Term Corporate Bond Index ETF
ID: XBB:CA, Name: iShares Core Canadian Universe Bond Index FNB
ID: XRB:CA, Name: iShares DEX Real Return Bond Index FNB
ID: LEMB:EGX, Name: iShares Emerging Markets Local Currency Bond FNB
ID: XSHG:CA, Name: iShares ESG Advanced 1-5 Year Canadian Corporate Bond Index ETF
ID: XESG:CA, Name: iShares ESG Aware MSCI Canada Index ETF
ID: XSAB:CA, Name: iShares ESG Canadian Aggregate Bond Index ETF
ID: FXI:EGX, Name: iShares FTSE/Xinhua China 25 Index Fund
ID: ARTY, Name: iShares Future AI & Tech ETF
ID: COW:CA, Name: iShares Global Agriculture Index ETF
ID: XHC:CA, Name: iShares Global Healthcare Index ETF (CAD-Hedged)
ID: XEB:CA, Name: iSHARES J.P. Morgan USD Emerging Markets Bond Index FNB (CAD-Hedged)
ID: XIN:CA, Name: iShares MSCI EAFE Index Fund (CAD-Hedged) FNB
ID: XMV:CA, Name: iShares MSCI Min Vol Canada Index ETF
ID: EWY:EGX, Name: iShares MSCI South Korea
ID: EWT:EGX, Name: iShares MSCI Taiwan
ID: EWA:EGX, Name: iShares MSCI-Australia
ID: EWQ:EGX, Name: iShares MSCI-France
ID: EWG:EGX, Name: iShares MSCI-Germany
ID: EWH:EGX, Name: iShares MSCI-Hong Kong
ID: EWJ:EGX, Name: iShares MSCI-Japan
ID: EWW:EGX, Name: iShares MSCI-Mexico
ID: EWP:EGX, Name: iShares MSCI-Spain
ID: EWU:EGX, Name: iShares MSCI-United Kingdom
ID: XQQ:CA, Name: iShares NASDAQ 100 Index ETF (CAD-Hedged)
ID: CMR:CA, Name: iShares Premium Money Market ETF
ID: WOOD:EGX, Name: iShares S&P Global Timber & Forestry Index Fund
ID: CDZ:CA, Name: iShares S&P/TSX Canadian Dividend Aristocrats FNB
ID: XHY:CA, Name: iShares U.S. High Yield Bond Index FNB (CAD-Hedged)
ID: XIG:CA, Name: iShares U.S. IG Corporate Bond Index FNB (CAD-Hedged)
ID: CLU:AQL, Name: iShares US Fundamental Index FNB
ID: JBHT:EGX, Name: J.B. Hunt Transport Services Inc.
ID: JWEL:CA, Name: Jamieson Wellness Inc.
ID: JD:EGX, Name: JD.com Inc.
ID: JNJ:EGX, Name: Johnson and Johnson
ID: JPM:EGX, Name: JPMorgan Chase
ID: JPEM, Name: JPMorgan Diversified Return Emerging Markets Equity
ID: KNT:CA, Name: K92 Mining Inc.
ID: KB, Name: KB Financial Group Inc
ID: KEG.UN:CA, Name: Keg Royalties Income Fund (The) Units
ID: K:EGX, Name: Kellog
ID: KDP:EGX, Name: Keurig Dr Pepper Inc.
ID: KMP.UN:CA, Name: Killam Apartment Real Estate Investment Trust
ID: KXS:CA, Name: Kinaxis Inc.
ID: KITS:CA, Name: Kits Eyecare Ltd
ID: PHG, Name: Koninklijke Philips N.V.
ID: KHC:EGX, Name: Kraft Heinz Company
ID: PNG:CA, Name: Kraken Robotics Inc.
ID: KHYB, Name: KraneShares Asia Pacific High Income Bond ETF
ID: LIF:CA, Name: Labrador Iron Ore Royalty Corporation
ID: QBTC:CA, Name: Le fonds Bitcoin
ID: LDTC:EGX, Name: Leddartech Holdings Inc.
ID: LNF:CA, Name: Leons Furniture Ltd
ID: LEVI, Name: Levi Strauss & Co.
ID: LPL, Name: LG Display Co Ltd
ID: LSPD:CA, Name: Lightspeed POS Inc.
ID: LNR:CA, Name: Linamar Corporation
ID: LIN:EGX, Name: Linde plc
ID: $GBPUSD, Name: Livre Sterling
ID: ERIC:EGX, Name: LM Ericsson
ID: L:CA, Name: Loblaw
ID: LOGI:EGX, Name: Logitech International S.A.
ID: LOOP:EGX, Name: Loop Industries Inc.
ID: LOW, Name: Lowe's Companies Inc.
ID: LUMN, Name: Lumen Technologies Inc.
ID: LUG:CA, Name: Lundin Gold Inc.
ID: LUN:CA, Name: Lundin Mining Corp
ID: LYB, Name: LyondellBasell Industries NV Class A
ID: MSGS, Name: Madison Square Garden Sports Corp., catégorie A
ID: MAG:CA, Name: MAG Silver
ID: MAL:CA, Name: Magellan Aerospace Corporation
ID: MG:CA, Name: Magna International
ID: MEQ:CA, Name: Mainstreet Equity Corp.
ID: MANU:EGX, Name: Manchester United
ID: MARA:EGX, Name: Marathon Digital Holdings Inc.
ID: FOOD:CA, Name: Marché Goodfood Corp.
ID: MLM, Name: Martin Marietta Materials
ID: MRE:CA, Name: Martinrea International Inc.
ID: MA:EGX, Name: Mastercard
ID: MCD:EGX, Name: McDonald
ID: MDA:CA, Name: MDA Ltd.
ID: MDP:CA, Name: Medexus Pharmaceuticals Inc.
ID: MDT, Name: Medtronic plc.
ID: MRD:CA, Name: Melcor Developments Ltd.
ID: MRK:EGX, Name: Merck & Co
ID: MX:CA, Name: Methanex Corporation
ID: MET:EGX, Name: MetLife Inc
ID: MRU:CA, Name: Metro inc.
ID: MU:EGX, Name: Micron Technology Inc.
ID: MSFT:EGX, Name: Microsoft
ID: MUFG, Name: Mitsubishi UFJ Financial Group Inc.
ID: MFG, Name: Mizuho Financial Group Inc.
ID: MRNA:EGX, Name: Moderna Inc.
ID: TPX.B:CA, Name: Molson Coors Canada Inc., cat. B
ID: MNT:CA, Name: Monnaie Royale du Canada - Réserve d'or
ID: MCO, Name: Moody's Corporation
ID: MSCI, Name: MSCI Inc
ID: MTL:CA, Name: Mullen Group Ltd
ID: GRA:CA, Name: NanoXplore Inc.
ID: NFLX:EGX, Name: Netflix
ID: NYT, Name: New York Times
ID: NEM:EGX, Name: Newmont Mining Corp Holding Co
ID: NEE, Name: NextEra Energy Inc.
ID: NFI:CA, Name: NFI Group Inc.
ID: NIO, Name: NIO Inc.
ID: NOK:EGX, Name: Nokia Corp
ID: NMR, Name: Nomura Holdings Inc
ID: NPI:CA, Name: Northland Power Inc.
ID: NOC:EGX, Name: Northrop Grumman Corp Holding Co
ID: NWH.UN:CA, Name: NorthWest Healthcare Properties REIT
ID: NOU:CA, Name: Nouveau Monde Graphite Inc.
ID: NVS:EGX, Name: Novartis
ID: NVO:EGX, Name: Novo Nordisk A/S
ID: NUE, Name: Nucor Corporation
ID: NTR:CA, Name: Nutrien Ltd
ID: NVDA:EGX, Name: NVIDIA Corporation
ID: ONEX:CA, Name: Onex Corp.
ID: OTEX:CA, Name: Open Text Corp
ID: ORCL:EGX, Name: Oracle
ID: OGI:CA, Name: OrganiGram Holdings Inc
ID: OR:CA, Name: Osisko redevances aurifères
ID: PLTR:EGX, Name: Palantir Technologies Inc. Class A
ID: PMET:CA, Name: Patriot Battery Metals Inc.
ID: PYPL:EGX, Name: PayPal Holdings
ID: PPL:CA, Name: Pembina Pipeline
ID: PNR, Name: Pentair plc.
ID: PEP:EGX, Name: PepsiCo
ID: PET:CA, Name: Pet Valu Holdings Ltd.
ID: PBR, Name: Petroleo Brasileiro S.A.- Petrobras
ID: PEY:CA, Name: Peyto Exploration & Development
ID: PFE:EGX, Name: Pfizer
ID: PM:EGX, Name: Philip Morris International
ID: PHX:CA, Name: PHX Energy Services Corp
ID: PLL:EGX, Name: Piedmont Lithium Limited
ID: MINT:EGX, Name: PIMCO Enhanced Short Maturity Strategy Fund
ID: PDD:EGX, Name: Pinduoduo Inc.
ID: PLZ.UN:CA, Name: Plaza Retail REIT
ID: PIF:CA, Name: Polaris Infrastructure Inc.
ID: PBL:CA, Name: Pollard Banknote Limited
ID: MFC5302:CA, Name: Portefeuille du fonds - Fonds toutes actions Chine Mackenzie Série D
ID: TGRO:CA, Name: Portefeuille FNB En un clic TD – audacieux
ID: TBAL:CA, Name: Portefeuille FNB En un clic TD – modéré
ID: PKX, Name: POSCO
ID: POW:CA, Name: Power Corporation du Canada
ID: PPA:EGX, Name: PowerShares Aerospace & Defense Portfolio
ID: PCY:EGX, Name: PowerShares Emerging Markets Sovereign Debt
ID: QQQ:EGX, Name: Powershares QQQ
